"Statistic Label","Year","Type of Urban or Rural Area","Small Area","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Cities","147005003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247091008","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057103001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","027053002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217041003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267065001/02","Number",""
"Population Usually Resident and Present in the State","2022","Cities","228021001","Number","260"
"Population Usually Resident and Present in the State","2022","Cities","027092014","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087034010","Number",""
"Population Usually Resident and Present in the State","2022","Cities","067138002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","228038001","Number","214"
"Population Usually Resident and Present in the State","2022","Cities","048042016","Number","306"
"Population Usually Resident and Present in the State","2022","Cities","257036002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268122003","Number","574"
"Population Usually Resident and Present in the State","2022","Cities","027027001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047064003","Number","318"
"Population Usually Resident and Present in the State","2022","Cities","087011005","Number",""
"Population Usually Resident and Present in the State","2022","Cities","207060006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","037083001/037083002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268098009","Number","253"
"Population Usually Resident and Present in the State","2022","Cities","267037003","Number","207"
"Population Usually Resident and Present in the State","2022","Cities","268032004","Number","214"
"Population Usually Resident and Present in the State","2022","Cities","157102004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","097061018","Number",""
"Population Usually Resident and Present in the State","2022","Cities","207055010","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247120002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","067017017","Number",""
"Population Usually Resident and Present in the State","2022","Cities","067176002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077136002/02","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077155001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057106026","Number",""
"Population Usually Resident and Present in the State","2022","Cities","177034002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077136005/077136003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267120008","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047067002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","157154002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268083012","Number","247"
"Population Usually Resident and Present in the State","2022","Cities","167029009","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077129006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","127039004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247052005/02","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087069021","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047084003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268144014","Number","171"
"Population Usually Resident and Present in the State","2022","Cities","107052013","Number",""
"Population Usually Resident and Present in the State","2022","Cities","067113001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247117039/01","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087023046","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268042008","Number","287"
"Population Usually Resident and Present in the State","2022","Cities","268058006","Number","253"
"Population Usually Resident and Present in the State","2022","Cities","267153006","Number","283"
"Population Usually Resident and Present in the State","2022","Cities","048033007","Number","187"
"Population Usually Resident and Present in the State","2022","Cities","267092054","Number","285"
"Population Usually Resident and Present in the State","2022","Cities","087047002/02","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087023020","Number",""
