"Statistic Label","Census Year","Towns 2022","Means of Travel","UNIT","VALUE"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","On Foot","Number","55"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","Bicycle","Number","9"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","Bus, minibus or coach","Number","11"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","Train, DART or LUAS","Number","4"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","Motorcycle or scooter","Number","1"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","Car Driver","Number","319"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","Car passenger","Number","26"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","Van","Number","34"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","Other (incl. lorry)","Number","2"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","Work mainly at or from home","Number","58"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","Not stated","Number","55"
"Usually resident by means of travel to work","2022","Carlingford, Co Louth","Total","Number","574"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","On Foot","Number","29"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","Bicycle","Number","7"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","Bus, minibus or coach","Number","39"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","Train, DART or LUAS","Number","11"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","Motorcycle or scooter","Number","1"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","Car Driver","Number","650"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","Car passenger","Number","48"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","Van","Number","92"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","Other (incl. lorry)","Number","11"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","Work mainly at or from home","Number","80"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","Not stated","Number","23"
"Usually resident by means of travel to work","2022","Clogherhead, Co Louth","Total","Number","991"
"Usually resident by means of travel to work","2022","Baltray, Co Louth","On Foot","Number","1"
"Usually resident by means of travel to work","2022","Baltray, Co Louth","Bicycle","Number","0"
"Usually resident by means of travel to work","2022","Baltray, Co Louth","Bus, minibus or coach","Number","1"
"Usually resident by means of travel to work","2022","Baltray, Co Louth","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to work","2022","Baltray, Co Louth","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to work","2022","Baltray, Co Louth","Car Driver","Number","50"
"Usually resident by means of travel to work","2022","Baltray, Co Louth","Car passenger","Number","1"
"Usually resident by means of travel to work","2022","Baltray, Co Louth","Van","Number","7"
"Usually resident by means of travel to work","2022","Baltray, Co Louth","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to work","2022","Baltray, Co Louth","Work mainly at or from home","Number","8"
"Usually resident by means of travel to work","2022","Baltray, Co Louth","Not stated","Number","0"
